 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
122,V1.F5 Select:2.20 s,50,437.760,100.960,437.760,100.960,8.784,7.247,137.636
123,V1.F5 Select:2.20 s,68267,771.955,289.845,771.955,289.845,374.223,232.269,11.999
124,V1.F5 Select:2.20 s,38,1098.289,157.421,1098.289,157.421,10.889,4.443,151.131
125,V1.F5 Select:2.20 s,30067,1218.168,522.899,1218.168,522.899,269.424,142.090,84.598
126,V1.F5 Select:2.20 s,4291,829.573,726.210,829.573,726.210,102.479,53.313,64.951
127,V1.F5 Select:2.20 s,562,665.669,683.913,665.669,683.913,33.955,21.074,33.368
128,V1.F5 Select:2.20 s,103,42.704,792.354,42.704,792.354,17.673,7.421,10.912
129,V1.F5 Select:2.20 s,6718,939.128,995.427,939.128,995.427,150.772,56.732,6.034
130,V1.F5 Select:2.20 s,26,61.692,982.231,61.692,982.231,5.838,5.671,78.487
131,V1.F5 Select:2.20 s,3947,174.202,1009.181,174.202,1009.181,139.549,36.012,2.524
132,V1.F5 Select:2.20 s,73,45.390,1022.212,45.390,1022.212,21.317,4.360,1.047
133,V1.F5 Select:2.27 s,525,667.534,7.167,667.534,7.167,38.879,17.193,8.173
134,V1.F5 Select:2.27 s,1552,802.981,13.964,802.981,13.964,70.912,27.867,162.552
135,V1.F5 Select:2.27 s,23,18.500,91.500,18.500,91.500,8.928,3.280,0.000
136,V1.F5 Select:2.27 s,43,437.779,101.174,437.779,101.174,7.989,6.853,140.683
137,V1.F5 Select:2.27 s,81491,553.831,269.045,553.831,269.045,464.544,223.354,6.199
138,V1.F5 Select:2.27 s,42,1036.262,162.190,1036.262,162.190,15.652,3.417,17.988
139,V1.F5 Select:2.27 s,2570,889.062,261.634,889.062,261.634,79.415,41.204,17.696
140,V1.F5 Select:2.27 s,65811,1094.458,525.814,1094.458,525.814,413.086,202.847,173.332
141,V1.F5 Select:2.27 s,45,1249.456,405.656,1249.456,405.656,9.387,6.104,92.712
142,V1.F5 Select:2.27 s,4523,780.498,734.416,780.498,734.416,102.152,56.375,127.729
143,V1.F5 Select:2.27 s,510,634.220,693.684,634.220,693.684,38.140,17.025,171.751
144,V1.F5 Select:2.27 s,43,42.337,794.198,42.337,794.198,7.689,7.121,161.885
145,V1.F5 Select:2.27 s,6784,896.185,993.978,896.185,993.978,138.839,62.213,167.465
146,V1.F5 Select:2.27 s,22,61.727,982.409,61.727,982.409,5.469,5.122,146.310
147,V1.F5 Select:2.33 s,2820,702.468,30.936,702.468,30.936,78.480,45.751,85.369
148,V1.F5 Select:2.33 s,44,437.955,101.273,437.955,101.273,8.314,6.739,157.528
149,V1.F5 Select:2.33 s,31,975.726,159.339,975.726,159.339,7.561,5.221,121.868
150,V1.F5 Select:2.33 s,58310,334.431,296.255,334.431,296.255,314.990,235.698,162.368
151,V1.F5 Select:2.33 s,1757,830.457,254.734,830.457,254.734,59.536,37.576,12.762
152,V1.F5 Select:2.33 s,59107,898.805,541.744,898.805,541.744,396.668,189.724,33.951
153,V1.F5 Select:2.33 s,1591,1147.034,575.596,1147.034,575.596,67.870,29.847,2.194
154,V1.F5 Select:2.33 s,32,1269.625,668.125,1269.625,668.125,7.275,5.600,9.827
155,V1.F5 Select:2.33 s,684,603.895,690.738,603.895,690.738,39.705,21.934,6.753
156,V1.F5 Select:2.33 s,5570,729.185,761.764,729.185,761.764,106.578,66.543,63.694
157,V1.F5 Select:2.33 s,116,37.250,802.190,37.250,802.190,19.731,7.485,2.093
158,V1.F5 Select:2.33 s,7451,858.822,996.884,858.822,996.884,158.093,60.008,5.523
159,V1.F5 Select:2.33 s,24,61.667,982.375,61.667,982.375,5.805,5.264,93.071
160,V1.F5 Select:2.40 s,7663,631.331,29.061,631.331,29.061,161.553,60.394,168.549
161,V1.F5 Select:2.40 s,41,437.573,101.354,437.573,101.354,7.814,6.680,137.438
162,V1.F5 Select:2.40 s,75922,209.095,295.732,209.095,295.732,379.807,254.516,27.763
163,V1.F5 Select:2.40 s,41,947.939,181.988,947.939,181.988,11.925,4.377,147.006
164,V1.F5 Select:2.40 s,1609,823.402,249.524,823.402,249.524,64.049,31.986,162.280
165,V1.F5 Select:2.40 s,46389,766.338,521.712,766.338,521.712,328.884,179.590,148.651
166,V1.F5 Select:2.40 s,944,1075.637,565.905,1075.637,565.905,40.822,29.444,26.347
167,V1.F5 Select:2.40 s,531,583.270,696.681,583.270,696.681,32.841,20.587,25.529
168,V1.F5 Select:2.40 s,4422,709.177,754.526,709.177,754.526,101.939,55.232,71.915
169,V1.F5 Select:2.40 s,105,32.538,809.948,32.538,809.948,17.547,7.619,15.535
170,V1.F5 Select:2.40 s,23,61.674,982.500,61.674,982.500,5.433,5.390,90.000
171,V1.F5 Select:2.40 s,2719,796.417,1013.247,796.417,1013.247,126.476,27.372,1.204
172,V1.F5 Select:2.47 s,9788,488.249,28.383,488.249,28.383,185.798,67.075,9.378
