 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
195,D:slice:107,1838,153.326,89.287,153.326,89.287,84.675,27.637,176.330
196,D:slice:107,621,739.022,106.732,739.022,106.732,40.147,19.695,177.215
197,D:slice:107,1907,653.056,159.418,653.056,159.418,77.061,31.509,3.615
198,D:slice:107,364,774.860,173.470,774.860,173.470,27.721,16.718,2.372
199,D:slice:108,1870,160.826,86.914,160.826,86.914,66.795,35.646,138.895
200,D:slice:108,639,746.511,106.120,746.511,106.120,32.367,25.137,174.019
201,D:slice:108,1978,661.247,158.651,661.247,158.651,66.470,37.889,153.945
202,D:slice:108,369,780.982,175.188,780.982,175.188,24.782,18.959,3.394
203,D:slice:109,1795,173.900,89.498,173.900,89.498,69.770,32.757,24.387
204,D:slice:109,622,753.039,107.947,753.039,107.947,38.924,20.346,169.936
205,D:slice:109,1842,674.479,160.290,674.479,160.290,61.290,38.265,20.289
206,D:slice:109,371,786.295,176.047,786.295,176.047,24.927,18.950,161.888
207,D:slice:110,1859,176.608,92.796,176.608,92.796,84.310,28.074,166.291
208,D:slice:110,648,760.000,108.272,760.000,108.272,34.144,24.164,10.621
209,D:slice:110,1890,681.566,162.423,681.566,162.423,77.373,31.102,169.426
210,D:slice:110,378,793.638,177.320,793.638,177.320,27.647,17.408,168.695
211,D:slice:111,1854,185.511,89.358,185.511,89.358,58.852,40.110,121.166
212,D:slice:111,635,766.722,108.539,766.722,108.539,36.291,22.279,158.947
213,D:slice:111,1932,690.340,159.282,690.340,159.282,54.989,44.734,137.880
214,D:slice:111,370,800.562,178.714,800.562,178.714,27.791,16.951,178.951
215,D:slice:112,1803,198.945,90.411,198.945,90.411,76.994,29.816,16.428
216,D:slice:112,625,775.233,109.951,775.233,109.951,37.241,21.369,5.216
217,D:slice:112,1899,705.105,161.733,705.105,161.733,73.029,33.109,9.223
218,D:slice:112,375,807.591,179.639,807.591,179.639,24.250,19.689,3.289
219,D:slice:113,1897,202.512,91.372,202.512,91.372,80.205,30.115,158.499
220,D:slice:113,630,781.554,110.168,781.554,110.168,33.287,24.098,161.918
221,D:slice:113,1985,712.440,161.441,712.440,161.441,70.928,35.633,158.679
222,D:slice:113,375,814.343,180.849,814.343,180.849,25.381,18.812,164.238
223,D:slice:114,1798,215.476,90.046,215.476,90.046,53.786,42.563,68.309
224,D:slice:114,633,790.784,110.821,790.784,110.821,40.191,20.053,176.469
225,D:slice:114,1889,726.165,161.856,726.165,161.856,55.653,43.217,25.018
226,D:slice:114,371,819.546,182.810,819.546,182.810,27.634,17.094,167.291
227,D:slice:115,1839,223.529,94.786,223.529,94.786,83.396,28.077,4.771
228,D:slice:115,643,798.946,109.147,798.946,109.147,32.121,25.488,174.046
229,D:slice:115,1934,733.883,163.886,733.883,163.886,78.826,31.239,176.355
230,D:slice:115,368,827.546,184.076,827.546,184.076,28.032,16.715,177.553
231,D:slice:116,1914,227.738,93.891,227.738,93.891,73.379,33.211,148.339
232,D:slice:116,641,805.313,110.562,805.313,110.562,39.669,20.574,170.950
233,D:slice:116,1946,741.707,162.309,741.707,162.309,61.253,40.451,145.181
234,D:slice:116,381,833.807,185.531,833.807,185.531,26.829,18.081,3.044
235,D:slice:117,1816,239.831,92.206,239.831,92.206,59.650,38.763,42.987
236,D:slice:117,656,812.931,109.881,812.931,109.881,33.839,24.683,9.995
237,D:slice:117,1898,756.604,162.592,756.604,162.592,67.591,35.754,16.692
238,D:slice:117,382,839.691,186.626,839.691,186.626,24.460,19.885,171.191
239,D:slice:118,1845,248.336,95.411,248.336,95.411,86.388,27.193,176.279
240,D:slice:118,642,820.611,109.928,820.611,109.928,37.402,21.855,160.326
241,D:slice:118,1959,764.003,164.336,764.003,164.336,75.684,32.956,165.220
242,D:slice:118,385,846.952,187.614,846.952,187.614,27.000,18.155,161.670
243,D:slice:119,1888,255.684,93.049,255.684,93.049,67.155,35.796,138.666
244,D:slice:119,640,829.711,110.727,829.711,110.727,36.560,22.289,5.987
245,D:slice:119,1914,777.143,163.108,777.143,163.108,52.022,46.845,151.457
246,D:slice:119,378,852.979,189.926,852.979,189.926,28.191,17.072,172.876
247,D:slice:120,1788,268.459,95.809,268.459,95.809,68.674,33.150,25.292
248,D:slice:120,618,836.893,110.466,836.893,110.466,33.946,23.180,160.631
249,D:slice:120,1932,786.138,165.283,786.138,165.283,75.741,32.478,4.679
250,D:slice:120,366,860.410,191.027,860.410,191.027,27.490,16.952,2.004
251,D:slice:121,1857,271.435,99.077,271.435,99.077,84.270,28.058,165.938
252,D:slice:121,634,845.789,110.117,845.789,110.117,39.977,20.193,178.710
253,D:slice:121,1926,793.178,165.309,793.178,165.309,67.993,36.066,152.553
254,D:slice:121,372,867.339,193.548,867.339,193.548,24.645,19.219,179.494
255,D:slice:122,1856,279.970,96.009,279.970,96.009,59.019,40.040,122.086
256,D:slice:122,644,854.137,108.233,854.137,108.233,32.073,25.565,172.569
257,D:slice:122,1911,807.396,163.180,807.396,163.180,59.980,40.566,26.697
258,D:slice:122,384,872.727,194.714,872.727,194.714,25.924,18.860,159.568
259,D:slice:123,1828,293.369,97.159,293.369,97.159,76.766,30.319,16.503
260,D:slice:123,628,861.670,108.842,861.670,108.842,39.307,20.342,171.331
261,D:slice:123,1921,817.040,167.507,817.040,167.507,78.316,31.231,172.756
262,D:slice:123,385,880.684,197.404,880.684,197.404,27.693,17.701,167.101
263,D:slice:124,1911,296.830,98.064,296.830,98.064,80.507,30.223,158.828
264,D:slice:124,648,868.330,107.881,868.330,107.881,33.495,24.633,8.554
265,D:slice:124,1938,828.426,165.258,828.426,165.258,59.306,41.607,146.930
266,D:slice:124,379,886.642,198.489,886.642,198.489,27.991,17.240,177.263
267,D:slice:125,1814,309.123,97.028,309.123,97.028,53.428,43.230,72.965
268,D:slice:125,635,876.139,107.727,876.139,107.727,37.424,21.604,160.165
269,D:slice:125,1887,839.430,168.730,839.430,168.730,69.434,34.603,11.842
270,D:slice:125,389,893.467,199.582,893.467,199.582,25.326,19.557,5.612
